TaxID,ScientificName,Species,Subspecies,CheckpointName
100019,Didymella_exigua,Didymella exigua,,checkpoints7
100035,Massariosphaeria_phaeospora,Massariosphaeria phaeospora,,checkpoints7
1000413,Acer_yangbiense,Acer yangbiense,,checkpoints8
1000418,Galeopsis_tetrahit,Galeopsis tetrahit,,checkpoints8
1000982,Steindachneridion_melanodermatum,Steindachneridion melanodermatum,,checkpoints2
1001064,Rhodotorula_toruloides_ATCC_204091,Rhodotorula toruloides,,checkpoints7
1001266,Cephus_brachycercus,Cephus brachycercus,,checkpoints5
1001267,Cephus_fumipennis,Cephus fumipennis,,checkpoints5
1001271,Cephus_nigrinus,Cephus nigrinus,,checkpoints5
1001274,Cephus_pulcher,Cephus pulcher,,checkpoints5
1001275,Cephus_rjabovi,Cephus rjabovi,,checkpoints5
1001276,Cephus_runcator,Cephus runcator,,checkpoints5
1001277,Cephus_sareptanus,Cephus sareptanus,,checkpoints5
1001278,Cephus_spinipes,Cephus spinipes,,checkpoints5
1001281,Calameuta_filum,Calameuta filum,,checkpoints5
1001282,Calameuta_haemorrhoidalis,Calameuta haemorrhoidalis,,checkpoints5
1001283,Calameuta_idolon,Calameuta idolon,,checkpoints5
1001285,Calameuta_pallipes,Calameuta pallipes,,checkpoints5
1001287,Calameuta_pygmaea,Calameuta pygmaea,,checkpoints5
1001291,Trachelus_tabidus,Trachelus tabidus,,checkpoints5
1001293,Trachelus_troglodyta,Trachelus troglodyta,,checkpoints5
10013,Thomomys_bottae,Thomomys bottae,,checkpoints1
1001832,Daldinia_sp._EC12,Daldinia sp. EC12,,checkpoints7
1001833,Hypoxylon_sp._CI-4A,Hypoxylon sp. CI-4A,,checkpoints7
100188,Brachyistius_frenatus,Brachyistius frenatus,,checkpoints2
100190,Embiotoca_jacksoni,Embiotoca jacksoni,,checkpoints2
1001937,Hypoxylon_sp._EC38,Hypoxylon sp. EC38,,checkpoints7
1001938,Hypoxylon_sp._CO27-5,Hypoxylon sp. CO27-5,,checkpoints7
10020,Dipodomys_ordii,Dipodomys ordii,,checkpoints1
1002107,Penicillium_psychrosexuale,Penicillium psychrosexuale,,checkpoints7
100224,Allochrocebus_lhoesti,Allochrocebus lhoesti,,checkpoints1
10023,Pedetes_capensis,Pedetes capensis,,checkpoints1
1002370,Knufia_peltigerae,Knufia peltigerae,,checkpoints7
100268,Paragonimus_heterotremus,Paragonimus heterotremus,,checkpoints6
100269,Paragonimus_kellicotti,Paragonimus kellicotti,,checkpoints6
1002726,Agapornis_swindernianus,Agapornis swindernianus,,checkpoints3
1002741,Apus_caffer,Apus caffer,,checkpoints3
1002788,Indicator_indicator,Indicator indicator,,checkpoints3
1002887,Glaucopsyche_melanops,Glaucopsyche melanops,,checkpoints5
1002898,Terpsiphone_rufocinerea,Terpsiphone rufocinerea,,checkpoints3
10029,Cricetulus_griseus,Cricetulus griseus,,checkpoints1
100292,Eriophorum_angustifolium,Eriophorum angustifolium,,checkpoints8
1002951,Udea_decrepitalis,Udea decrepitalis,,checkpoints5
1002954,Udea_ferrugalis,Udea ferrugalis,,checkpoints5
1002957,Udea_hamalis,Udea hamalis,,checkpoints5
100296,Carex_kokanica,Carex kokanica,,checkpoints8
1002960,Udea_inquinatalis,Udea inquinatalis,,checkpoints5
1002964,Udea_lutealis,Udea lutealis,,checkpoints5
1002969,Udea_numeralis,Udea numeralis,,checkpoints5
1002971,Udea_olivalis,Udea olivalis,,checkpoints5
1003001,Agrotera_nemoralis,Agrotera nemoralis,,checkpoints5
1003005,Synaphe_punctalis,Synaphe punctalis,,checkpoints5
1003153,Alestes_dentex,Alestes dentex,,checkpoints2
1003159,Mormyrus_hasselquistii,Mormyrus hasselquistii,,checkpoints2
1003232,Edhazardia_aedis_USNM_41457,Edhazardia aedis,,checkpoints7
1003335,Kluyveromyces_marxianus_DMKU3-1042,Kluyveromyces marxianus,,checkpoints7
10034,Cricetus_cricetus,Cricetus cricetus,,checkpoints1
10036,Mesocricetus_auratus,Mesocricetus auratus,,checkpoints1
100367,Leptographium_procerum,Leptographium procerum,,checkpoints7
1003706,Chascanopsetta_lugubris,Chascanopsetta lugubris,,checkpoints2
1003839,Pycnonotus_cafer,Pycnonotus cafer,,checkpoints3
1003843,Halcyon_smyrnensis,Halcyon smyrnensis,,checkpoints3
10041,Peromyscus_leucopus,Peromyscus leucopus,,checkpoints1
1004196,Megachile_sculpturalis,Megachile sculpturalis,,checkpoints5
1004253,Cyberlindnera_mrakii,Cyberlindnera mrakii,,checkpoints7
1004254,Cyberlindnera_subsufficiens,Cyberlindnera subsufficiens,,checkpoints7
10044,Phodopus_sungorus,Phodopus sungorus,,checkpoints1
100452,Candidula_unifasciata,Candidula unifasciata,,checkpoints6
100465,Antitrichia_curtipendula,Antitrichia curtipendula,,checkpoints8
10047,Meriones_unguiculatus,Meriones unguiculatus,,checkpoints1
100487,Cercopithecus_petaurista,Cercopithecus petaurista,,checkpoints1
100488,Miopithecus_ogouensis,Miopithecus ogouensis,,checkpoints1
1005070,Aguna_claxon,Aguna claxon,,checkpoints5
1005073,Anania_funebris,Anania funebris,,checkpoints5
100521,Liriope_spicata,Liriope spicata,,checkpoints8
100532,Dracaena_draco,Dracaena draco,,checkpoints8
10058,Microtus_pennsylvanicus,Microtus pennsylvanicus,,checkpoints1
1005962,Ogataea_parapolymorpha,Ogataea parapolymorpha,,checkpoints7
1005963,Botrytis_pseudocinerea,Botrytis pseudocinerea,,checkpoints7
10060,Ondatra_zibethicus,Ondatra zibethicus,,checkpoints1
1006466,Kazachstania_bromeliacearum,Kazachstania bromeliacearum,,checkpoints7
1006475,Circinaria_calcarea,Circinaria calcarea,,checkpoints7
1006542,Todiramphus_cinnamominus,Todiramphus cinnamominus,,checkpoints3
10068,Acomys_cahirinus,Acomys cahirinus,,checkpoints1
1006801,Pachastrella_ovisternata,Pachastrella ovisternata,,checkpoints6
1006808,Stelletta_rhaphidiophora,Stelletta rhaphidiophora,,checkpoints6
1006814,Thenea_schmidti,Thenea schmidti,,checkpoints6
1006815,Thenea_valdiviae,Thenea valdiviae,,checkpoints6
1007316,Gomphocerus_sibiricus,Gomphocerus sibiricus,,checkpoints5
1007343,Abraxas_grossulariata,Abraxas grossulariata,,checkpoints5
1007376,Pseudoterpna_coronillaria,Pseudoterpna coronillaria,,checkpoints5
100748,Oeneis_ivallda,Oeneis ivallda,,checkpoints5
1007502,Nannizziopsis_barbatae,Nannizziopsis barbatae,,checkpoints7
100756,Hericium_coralloides,Hericium coralloides,,checkpoints7
1007708,Pseudopanthera_macularia,Pseudopanthera macularia,,checkpoints5
100784,Balearica_regulorum_gibbericeps,Balearica regulorum,Balearica regulorum gibbericeps,checkpoints3
