TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
100019,Didymella_exigua,55170,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella exigua,
100035,Massariosphaeria_phaeospora,100034,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,Massariosphaeria,Massariosphaeria phaeospora,
1000413,Acer_yangbiense,4022,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer yangbiense,
1000418,Galeopsis_tetrahit,457137,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Galeopsis,Galeopsis tetrahit,
1000982,Steindachneridion_melanodermatum,380997,Metazoa,Chordata,Actinopteri,Siluriformes,Pimelodidae,Steindachneridion,Steindachneridion melanodermatum,
1001064,Rhodotorula_toruloides_ATCC_204091,5286,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula toruloides,
1001266,Cephus_brachycercus,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus brachycercus,
1001267,Cephus_fumipennis,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus fumipennis,
1001271,Cephus_nigrinus,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus nigrinus,
1001274,Cephus_pulcher,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus pulcher,
1001275,Cephus_rjabovi,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus rjabovi,
1001276,Cephus_runcator,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus runcator,
1001277,Cephus_sareptanus,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus sareptanus,
1001278,Cephus_spinipes,173784,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus spinipes,
1001281,Calameuta_filum,222803,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Calameuta,Calameuta filum,
1001282,Calameuta_haemorrhoidalis,222803,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Calameuta,Calameuta haemorrhoidalis,
1001283,Calameuta_idolon,222803,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Calameuta,Calameuta idolon,
1001285,Calameuta_pallipes,222803,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Calameuta,Calameuta pallipes,
1001287,Calameuta_pygmaea,222803,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Calameuta,Calameuta pygmaea,
1001291,Trachelus_tabidus,1001288,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Trachelus,Trachelus tabidus,
1001293,Trachelus_troglodyta,1001288,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Trachelus,Trachelus troglodyta,
10013,Thomomys_bottae,10011,Metazoa,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,
1001832,Daldinia_sp._EC12,2614574,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia sp. EC12,
1001833,Hypoxylon_sp._CI-4A,2614581,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp. CI-4A,
100188,Brachyistius_frenatus,100187,Metazoa,Chordata,Actinopteri,,Embiotocidae,Brachyistius,Brachyistius frenatus,
100190,Embiotoca_jacksoni,100189,Metazoa,Chordata,Actinopteri,,Embiotocidae,Embiotoca,Embiotoca jacksoni,
1001937,Hypoxylon_sp._EC38,2614581,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp. EC38,
1001938,Hypoxylon_sp._CO27-5,2614581,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,Hypoxylon sp. CO27-5,
10020,Dipodomys_ordii,10016,Metazoa,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii,
1002107,Penicillium_psychrosexuale,5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium psychrosexuale,
100224,Allochrocebus_lhoesti,2059839,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Allochrocebus,Allochrocebus lhoesti,
10023,Pedetes_capensis,10022,Metazoa,Chordata,Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes capensis,
1002370,Knufia_peltigerae,430999,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,Knufia peltigerae,
100268,Paragonimus_heterotremus,34503,Metazoa,Platyhelminthes,Trematoda,Plagiorchiida,Troglotrematidae,Paragonimus,Paragonimus heterotremus,
100269,Paragonimus_kellicotti,34503,Metazoa,Platyhelminthes,Trematoda,Plagiorchiida,Troglotrematidae,Paragonimus,Paragonimus kellicotti,
1002726,Agapornis_swindernianus,60461,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,Agapornis swindernianus,
1002741,Apus_caffer,8894,Metazoa,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus caffer,
1002788,Indicator_indicator,189528,Metazoa,Chordata,Aves,Piciformes,Indicatoridae,Indicator,Indicator indicator,
1002887,Glaucopsyche_melanops,203780,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,Glaucopsyche melanops,
1002898,Terpsiphone_rufocinerea,98151,Metazoa,Chordata,Aves,Passeriformes,Monarchidae,Terpsiphone,Terpsiphone rufocinerea,
10029,Cricetulus_griseus,10028,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus,
100292,Eriophorum_angustifolium,46326,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Eriophorum,Eriophorum angustifolium,
1002951,Udea_decrepitalis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea decrepitalis,
1002954,Udea_ferrugalis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea ferrugalis,
1002957,Udea_hamalis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea hamalis,
100296,Carex_kokanica,2759862,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,Carex kokanica,
1002960,Udea_inquinatalis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea inquinatalis,
1002964,Udea_lutealis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea lutealis,
1002969,Udea_numeralis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea numeralis,
1002971,Udea_olivalis,572908,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea olivalis,
1003001,Agrotera_nemoralis,581753,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Agrotera,Agrotera nemoralis,
1003005,Synaphe_punctalis,1003004,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Synaphe,Synaphe punctalis,
1003153,Alestes_dentex,42483,Metazoa,Chordata,Actinopteri,Characiformes,Alestidae,Alestes,Alestes dentex,
1003159,Mormyrus_hasselquistii,91730,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Mormyridae,Mormyrus,Mormyrus hasselquistii,
1003232,Edhazardia_aedis_USNM_41457,70536,Fungi,Microsporidia,,,Culicosporidae,Edhazardia,Edhazardia aedis,
1003335,Kluyveromyces_marxianus_DMKU3-1042,4911,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus,
10034,Cricetus_cricetus,10033,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,Cricetus cricetus,
10036,Mesocricetus_auratus,10035,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus,
100367,Leptographium_procerum,96312,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium procerum,
1003706,Chascanopsetta_lugubris,398647,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta lugubris,
1003839,Pycnonotus_cafer,125282,Metazoa,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,
1003843,Halcyon_smyrnensis,170865,Metazoa,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,Halcyon smyrnensis,
10041,Peromyscus_leucopus,10040,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,
1004196,Megachile_sculpturalis,132116,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile sculpturalis,
1004253,Cyberlindnera_mrakii,604195,Fungi,Ascomycota,Saccharomycetes,Phaffomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera mrakii,
1004254,Cyberlindnera_subsufficiens,604195,Fungi,Ascomycota,Saccharomycetes,Phaffomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera subsufficiens,
